 17      1  10583    2.1652      199 187   3 196   1 186
    22    1.046    0.043      0.011  0.000    -2.82     0.68     0.01     1.00
    22   -0.131    0.007     -0.005  0.000    -0.95    -1.12    -0.03     1.00
    22   -0.147    0.337     -0.015  0.000     1.45     1.40    -0.03     1.00
    22    0.016   -0.442     -0.023  0.000     4.73    -3.67    -0.04     1.00
    22    0.021    0.145      0.011  0.000     5.05     0.67     0.06     1.00
    22    0.061    0.130     -0.015  0.000    -4.44    -2.47    -0.08     1.00
    22   -0.272    0.126     -0.044  0.000    -2.96     3.30    -0.12     1.00
    22   -0.134   -0.132     -0.050  0.000     2.40     1.87    -0.20     1.00
    22   -0.076    0.039      0.023  0.000     1.78     4.45     0.21     1.00
    22    0.085   -0.165      0.058  0.000     0.98    -0.93     0.24     1.00
    22    0.138   -0.159     -0.067  0.000     2.68    -1.92    -0.24     1.00
    22   -0.032    0.018      0.012  0.000    -2.46     1.41     0.25     1.00
    22   -0.079    0.013     -0.027  0.000    -3.95     0.97    -0.26     1.00
    22   -0.152   -0.165     -0.097  0.000     1.76    -6.45    -0.32     1.00
    22    0.026    0.044      0.024  0.000    -3.86     0.50     0.35     1.00
    22    0.046    0.006      0.025  0.000    -1.38    -4.66     0.38     1.00
    22   -0.046    0.070     -0.049  0.000    -0.40     4.81    -0.50     1.20
    22   -0.200    0.153     -0.179  0.000     1.93     5.21    -0.58     1.20
    22    0.021   -0.053      0.041  0.000     3.95     2.62     0.59     1.20
    22    0.103    0.018      0.078  0.000     3.56    -0.91     0.60     1.20
    22    0.028    0.010     -0.023  0.000     1.07     2.33    -0.62     1.20
    22   -0.081   -0.111     -0.113  0.000     1.82    -0.55    -0.63     1.20
    22   -0.393    0.488      0.536  0.000     2.99     0.47     0.65     1.20
    22    0.085   -0.035     -0.079  0.000    -2.25    -5.33    -0.65     1.20
    22    0.152   -0.034     -0.134  0.000     1.84    -5.13    -0.65     1.20
    22   -0.038    0.028      0.048  0.000    -2.52    -1.01     0.71     1.20
    22   -0.190    0.210      0.300  0.000    -5.62     1.83     0.87     1.40
    22   -0.156    0.050     -0.180  0.000     2.48     1.20    -0.89     1.40
   111   -0.172    0.286     -0.084  0.135    -8.04     4.80    -3.28     6.80
    22   -0.131    0.041      0.168  0.000     2.43     4.63     0.93     1.40
    22    0.024    0.028     -0.046  0.000     3.46    -2.75    -0.94     1.40
    22    0.100    0.077      0.161  0.000    -1.61     2.86     0.94     1.40
    22    0.131   -0.374      0.540  0.000     1.66    -0.16     0.97     1.40
    22   -0.066   -0.112     -0.182  0.000    -2.44    -2.20    -1.14     1.60
    22    0.168   -0.063     -0.270  0.000     5.29     1.92    -1.17     1.60
    22    0.103   -0.208     -0.352  0.000     5.05    -3.56    -1.17     1.60
    22    0.079   -0.066      0.159  0.000     3.03    -5.00     1.17     1.60
    22   -0.009   -0.365      0.566  0.000    -2.16    -2.19     1.18     1.60
    22   -0.002   -0.118      0.186  0.000    -0.54    -5.72     1.18     1.60
    22   -0.110    0.051      0.196  0.000     6.35     1.82     1.19     1.60
    22   -0.070   -0.091     -0.193  0.000     0.77    -5.01    -1.20     1.60
    22    0.156   -0.011     -0.263  0.000     1.12    -6.01    -1.20     1.60
